[pec 98/2007]: Conhecida como PEC da Música. Altera a Constituição Federal de 1988. 
Ementa: Acrescenta a alínea "e" ao inciso VI do art. 150 da Constituição Federal, instituindo imunidade tributária sobre os Fonogramas e Videofonogramas musicais produzidos no Brasil, contendo obras musicais ou lítero-musicais de autores brasileiros, e/ou obras em geral interpretadas por artistas brasileiros, bem como os suportes materiais ou arquivos digitais que os contenham. 
Situação: MESA - Aguardando Retorno 
************
PDT: 	 Sim: 1 	 Não: 17 	 Abstenções: 0
PTC: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PTB: 	 Sim: 1 	 Não: 13 	 Abstenções: 0
PSD: 	 Sim: 0 	 Não: 35 	 Abstenções: 0
PCdoB: 	 Sim: 0 	 Não: 6 	 Abstenções: 0
PPS: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PTdoB: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
DEM: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PHS: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PSOL: 	 Sim: 3 	 Não: 0 	 Abstenções: 0
PMN: 	 Sim: 0 	 Não: 2 	 Abstenções: 0
PMDB: 	 Sim: 0 	 Não: 62 	 Abstenções: 0
************
[8/11/2011, 21:37] Rejeitado o Requerimento. Sim: 07; não: 291; abstenção: 01; total: 299.
PCdoB: 	 Sim: 0 	 Não: 10 	 Abstenções: 0
DEM: 	 Sim: 0 	 Não: 0 	 Abstenções: 0
PMDB: 	 Sim: 0 	 Não: 55 	 Abstenções: 0
PR: 	 Sim: 0 	 Não: 23 	 Abstenções: 0
PP: 	 Sim: 1 	 Não: 24 	 Abstenções: 0
PV: 	 Sim: 0 	 Não: 6 	 Abstenções: 0
PT: 	 Sim: 0 	 Não: 61 	 Abstenções: 0
PRB: 	 Sim: 0 	 Não: 5 	 Abstenções: 0
PTC: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PTB: 	 Sim: 0 	 Não: 13 	 Abstenções: 0
PPS: 	 Sim: 1 	 Não: 1 	 Abstenções: 0
PRP: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PMN: 	 Sim: 0 	 Não: 2 	 Abstenções: 0
PSDB: 	 Sim: 1 	 Não: 0 	 Abstenções: 1
PDT: 	 Sim: 1 	 Não: 20 	 Abstenções: 0
PRTB: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PTdoB: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PSB: 	 Sim: 0 	 Não: 24 	 Abstenções: 0
PSC: 	 Sim: 0 	 Não: 12 	 Abstenções: 0
PSD: 	 Sim: 0 	 Não: 30 	 Abstenções: 0
PHS: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PSOL: 	 Sim: 3 	 Não: 0 	 Abstenções: 0
************
[8/11/2011, 23:19] Rejeitado o Requerimento. Sim: 09; não: 282; abstenção: 02; total: 293.
PCdoB: 	 Sim: 0 	 Não: 11 	 Abstenções: 0
DEM: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PMDB: 	 Sim: 0 	 Não: 44 	 Abstenções: 0
PR: 	 Sim: 0 	 Não: 25 	 Abstenções: 0
PP: 	 Sim: 1 	 Não: 23 	 Abstenções: 0
PV: 	 Sim: 0 	 Não: 9 	 Abstenções: 0
PT: 	 Sim: 0 	 Não: 63 	 Abstenções: 0
PRB: 	 Sim: 0 	 Não: 7 	 Abstenções: 0
PTC: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PTB: 	 Sim: 1 	 Não: 7 	 Abstenções: 0
PPS: 	 Sim: 1 	 Não: 1 	 Abstenções: 0
PRP: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PMN: 	 Sim: 0 	 Não: 2 	 Abstenções: 0
PSDB: 	 Sim: 1 	 Não: 0 	 Abstenções: 2
PDT: 	 Sim: 1 	 Não: 18 	 Abstenções: 0
PRTB: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PTdoB: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PSB: 	 Sim: 0 	 Não: 22 	 Abstenções: 0
